PoleNum,Latitude,Longitude,Ownership%,Owner1,Owner2,Owner3,Attachment#,"Renter Company","Start Date","Attachment Asset Type","Attachment Type","Attachment Method","Colashed to",Comment1,Comment2,"Pole Status","Attachment Status","Pole Mobile3","Valid Attachment","Data as of"
1307733,47.594267908099,-122.2953747829,50,SCL,CLINK,,3430469,"VERIZON BUSINESS",2021/11/10,JUATTACH,CABLE,DIRECT,,"App# 20-047",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1307734,47.594524290921,-122.2958222003,50,SCL,CLINK,,3430470,"VERIZON BUSINESS",2021/11/10,JUATTACH,CABLE,DIRECT,,"App# 20-047",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1307738,47.595731409527,-122.2951742843,50,SCL,CLINK,,3430471,"VERIZON BUSINESS",2021/11/10,JUATTACH,CABLE,DIRECT,,"App# 20-047",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
2495172,47.593841043278,-122.3343716284,100,SCL,,,3425925,"VERIZON BUSINESS",2021/01/27,JUATTACH,CABLE,DIRECT,,"App# 20-030",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1307726,47.59276038565,-122.2944982523,50,SCL,CLINK,,3430468,"VERIZON BUSINESS",2021/11/10,JUATTACH,CABLE,DIRECT,,"App# 20-047",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
2783479,47.647146490123,-122.337633986,100,SCL,,,3430614,"VERIZON BUSINESS",2021/12/17,JUATTACH,CABLE,DIRECT,,"App# 21-081",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
2797174,47.585593665442,-122.3300897011,100,SCL,,,3425942,"VERIZON BUSINESS",2021/02/24,JUATTACH,CABLE,DIRECT,,"App# 20-044",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
2783815,47.604298198736,-122.3185438413,50,SCL,CLINK,,3427879,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
3408454,47.662509636843,-122.3737410199,50,SCL,CLINK,,3430417,"VERIZON BUSINESS",2021/11/22,JUATTACH,CABLE,DIRECT,,"App# 19-271",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
3408453,47.662813110764,-122.373750764,50,SCL,CLINK,,3430416,"VERIZON BUSINESS",2021/11/22,JUATTACH,CABLE,DIRECT,,"App# 19-271",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351729,47.765290273418,-122.3666986633,100,SCL,,,3425300,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,SCL,"VALID ATTACHMENT",epmstagp.20220805_171151
1351726,47.766129528578,-122.3666902051,50,SCL,ZIPLY,,3425298,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1351728,47.7656716939,-122.3667061668,50,SCL,ZIPLY,,3425299,"VERIZON BUSINESS",2021/01/29,JUATTACH,CABLE,DIRECT,,"App# 18-509",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
1308170,47.603460394316,-122.3140989193,50,SCL,CLINK,,3427851,"VERIZON BUSINESS",2021/06/22,JUATTACH,CABLE,DIRECT,,"App# 20-106",,ACTIVE,ACTIVE,JOINT,"VALID ATTACHMENT",epmstagp.20220805_171151
